AT (Original),AT (Min-Max),AT (Z-Score),V (Original),V (Min-Max),V (Z-Score),AP (Original),AP (Min-Max),AP (Z-Score),RH (Original),RH (Min-Max),RH (Z-Score),PE (Original),PE (Min-Max),PE (Z-Score)
27.36,18.62,1.03,48.60,7.07,-0.45,1003.18,0.25,-1.70,54.93,0.39,-1.26,436.06,1.00,-1.07
27.47,18.63,1.05,70.72,9.04,1.29,1009.97,0.42,-0.55,74.62,0.66,0.09,443.25,1.00,-0.65
14.60,16.81,-0.68,39.31,6.24,-1.18,1011.11,0.45,-0.36,72.52,0.63,-0.05,464.16,1.00,0.57
7.91,15.86,-1.58,39.96,6.30,-1.13,1023.57,0.76,1.74,88.44,0.84,1.04,475.52,1.00,1.24
5.81,15.57,-1.86,35.79,5.93,-1.46,1012.14,0.48,-0.19,92.28,0.89,1.30,484.41,1.00,1.76
30.53,19.07,1.46,65.18,8.54,0.86,1012.69,0.49,-0.10,41.85,0.22,-2.15,437.89,1.00,-0.97
23.87,18.12,0.57,63.94,8.43,0.76,1019.02,0.65,0.97,44.28,0.25,-1.99,445.11,1.00,-0.54
26.09,18.44,0.86,58.41,7.94,0.32,1013.64,0.51,0.06,64.58,0.52,-0.60,438.86,1.00,-0.91
29.27,18.89,1.29,66.85,8.69,0.99,1011.11,0.45,-0.36,63.25,0.51,-0.69,440.98,1.00,-0.78
27.38,18.62,1.04,74.16,9.34,1.56,1010.08,0.43,-0.54,78.61,0.71,0.36,436.65,1.00,-1.04
24.81,18.26,0.69,63.94,8.43,0.76,1018.76,0.64,0.93,44.51,0.25,-1.97,444.26,1.00,-0.59
12.75,16.55,-0.93,44.03,6.66,-0.81,1007.29,0.36,-1.01,89.46,0.86,1.11,465.86,1.00,0.67
24.66,18.24,0.67,63.73,8.41,0.74,1011.40,0.46,-0.31,74.52,0.66,0.08,444.37,1.00,-0.59
16.38,17.06,-0.44,47.45,6.97,-0.54,1010.08,0.43,-0.54,88.86,0.85,1.07,450.69,1.00,-0.22
13.91,16.71,-0.77,39.35,6.24,-1.18,1014.69,0.54,0.24,75.51,0.67,0.15,469.02,1.00,0.86
23.18,18.03,0.47,51.30,7.31,-0.24,1012.04,0.47,-0.21,78.64,0.71,0.37,448.86,1.00,-0.32
22.47,17.93,0.38,47.45,6.97,-0.54,1007.62,0.36,-0.95,76.65,0.68,0.23,447.14,1.00,-0.42
13.39,16.64,-0.84,44.85,6.73,-0.74,1017.24,0.60,0.67,80.44,0.74,0.49,469.18,1.00,0.87
9.28,16.06,-1.39,41.54,6.44,-1.00,1018.33,0.63,0.85,79.89,0.73,0.45,482.80,1.00,1.67
11.82,16.42,-1.05,42.86,6.56,-0.90,1014.12,0.53,0.14,88.28,0.84,1.03,476.70,1.00,1.31
10.27,16.20,-1.26,40.64,6.36,-1.08,1020.63,0.69,1.24,84.60,0.79,0.77,474.99,1.00,1.21
22.92,17.99,0.44,63.94,8.43,0.76,1019.28,0.65,1.01,42.69,0.23,-2.10,444.22,1.00,-0.59
16.00,17.01,-0.49,37.87,6.11,-1.29,1020.24,0.68,1.18,78.41,0.71,0.35,461.33,1.00,0.41
21.22,17.75,0.21,43.43,6.61,-0.86,1010.96,0.45,-0.39,61.07,0.48,-0.84,448.06,1.00,-0.37
13.46,16.65,-0.83,44.71,6.72,-0.76,1014.51,0.54,0.21,50.00,0.33,-1.60,474.60,1.00,1.19
9.39,16.07,-1.38,40.11,6.31,-1.12,1029.14,0.90,2.67,77.29,0.69,0.27,473.05,1.00,1.09
31.07,19.14,1.53,73.50,9.28,1.51,1010.58,0.44,-0.45,43.66,0.24,-2.03,432.06,1.00,-1.31
12.82,16.56,-0.92,38.62,6.18,-1.23,1018.71,0.64,0.92,83.80,0.78,0.72,467.41,1.00,0.76
32.57,19.36,1.73,78.92,9.77,1.94,1011.60,0.46,-0.28,66.47,0.55,-0.47,430.12,1.00,-1.42
8.11,15.89,-1.55,42.18,6.50,-0.95,1014.82,0.54,0.26,93.09,0.91,1.35,473.62,1.00,1.13
13.92,16.72,-0.77,39.39,6.25,-1.17,1012.94,0.50,-0.05,80.52,0.74,0.49,471.81,1.00,1.02
23.04,18.01,0.45,59.43,8.03,0.40,1010.23,0.43,-0.51,68.99,0.58,-0.30,442.99,1.00,-0.67
27.31,18.61,1.03,64.44,8.48,0.80,1014.65,0.54,0.23,57.27,0.43,-1.10,442.77,1.00,-0.68
5.91,15.58,-1.84,39.33,6.24,-1.18,1010.18,0.43,-0.52,95.53,0.94,1.52,491.49,1.00,2.18
25.26,18.32,0.75,61.08,8.18,0.53,1013.68,0.51,0.07,71.72,0.62,-0.11,447.46,1.00,-0.40
27.97,18.71,1.12,58.84,7.98,0.36,1002.25,0.23,-1.85,57.88,0.43,-1.06,446.11,1.00,-0.48
26.08,18.44,0.86,52.30,7.40,-0.16,1007.03,0.35,-1.05,63.34,0.51,-0.68,442.44,1.00,-0.70
29.01,18.85,1.26,65.71,8.59,0.90,1013.61,0.51,0.06,48.07,0.30,-1.73,446.22,1.00,-0.48
12.18,16.47,-1.00,40.10,6.31,-1.12,1016.67,0.59,0.57,91.87,0.89,1.27,471.49,1.00,1.00
13.76,16.69,-0.79,45.87,6.82,-0.66,1008.89,0.40,-0.74,87.27,0.83,0.96,463.50,1.00,0.54
25.50,18.36,0.78,58.79,7.97,0.35,1016.02,0.57,0.46,64.40,0.52,-0.61,440.01,1.00,-0.84
28.26,18.75,1.16,65.34,8.56,0.87,1014.56,0.54,0.22,43.40,0.24,-2.05,441.03,1.00,-0.78
21.39,17.77,0.23,62.96,8.35,0.68,1019.49,0.66,1.05,72.24,0.63,-0.07,452.68,1.00,-0.10
7.26,15.77,-1.66,40.69,6.36,-1.07,1020.43,0.68,1.21,90.22,0.87,1.16,474.91,1.00,1.20
10.54,16.24,-1.22,34.03,5.77,-1.60,1018.71,0.64,0.92,74.00,0.65,0.05,478.77,1.00,1.43
27.71,18.67,1.08,74.34,9.36,1.58,998.14,0.13,-2.55,71.85,0.62,-0.10,434.20,1.00,-1.18
23.11,18.02,0.46,68.30,8.82,1.10,1017.83,0.62,0.77,86.62,0.82,0.91,437.91,1.00,-0.96
7.51,15.81,-1.63,41.01,6.39,-1.05,1024.61,0.78,1.91,97.41,0.96,1.65,477.61,1.00,1.36
26.46,18.49,0.91,74.67,9.39,1.60,1016.65,0.59,0.57,84.44,0.79,0.76,431.65,1.00,-1.33
29.34,18.90,1.30,74.34,9.36,1.58,998.58,0.14,-2.47,81.55,0.75,0.56,430.57,1.00,-1.39
10.32,16.21,-1.25,42.28,6.51,-0.95,1008.82,0.39,-0.75,75.66,0.67,0.16,481.09,1.00,1.57
22.74,17.96,0.41,61.02,8.17,0.53,1009.56,0.41,-0.62,79.41,0.72,0.42,445.56,1.00,-0.52
13.48,16.65,-0.83,39.85,6.29,-1.14,1012.71,0.49,-0.09,58.91,0.45,-0.99,475.74,1.00,1.25
25.52,18.36,0.79,69.75,8.95,1.22,1010.36,0.43,-0.49,90.06,0.86,1.15,435.12,1.00,-1.13
21.58,17.80,0.26,67.25,8.73,1.02,1017.39,0.61,0.70,79.00,0.72,0.39,446.15,1.00,-0.48
27.66,18.66,1.07,76.86,9.58,1.77,1001.31,0.21,-2.01,69.47,0.59,-0.26,436.64,1.00,-1.04
26.96,18.56,0.98,69.45,8.92,1.19,1013.89,0.52,0.11,51.47,0.35,-1.50,436.69,1.00,-1.04
12.29,16.48,-0.99,42.18,6.50,-0.95,1016.53,0.59,0.55,83.13,0.77,0.67,468.75,1.00,0.84
15.86,16.99,-0.51,43.02,6.57,-0.89,1012.18,0.48,-0.18,40.33,0.20,-2.26,466.60,1.00,0.72
13.87,16.71,-0.78,45.08,6.75,-0.73,1024.42,0.78,1.88,81.69,0.75,0.57,465.48,1.00,0.65
24.09,18.16,0.60,73.68,9.30,1.52,1014.93,0.55,0.28,94.55,0.92,1.45,441.34,1.00,-0.76
20.45,17.64,0.11,69.45,8.92,1.19,1012.53,0.49,-0.12,91.81,0.89,1.27,441.83,1.00,-0.73
15.07,16.88,-0.61,39.30,6.24,-1.18,1019.00,0.65,0.97,63.62,0.51,-0.66,464.70,1.00,0.61
32.72,19.38,1.75,69.75,8.95,1.22,1009.60,0.41,-0.62,49.35,0.32,-1.64,437.99,1.00,-0.96
18.23,17.33,-0.19,58.96,7.99,0.37,1015.55,0.56,0.39,69.61,0.59,-0.25,459.12,1.00,0.28
35.56,19.78,2.13,68.94,8.88,1.15,1006.56,0.34,-1.13,38.75,0.18,-2.37,429.69,1.00,-1.45
18.36,17.34,-0.17,51.43,7.32,-0.23,1010.57,0.44,-0.45,90.17,0.87,1.15,459.80,1.00,0.32
26.35,18.48,0.90,64.05,8.44,0.77,1009.81,0.42,-0.58,81.24,0.75,0.54,433.63,1.00,-1.21
25.92,18.42,0.84,60.95,8.17,0.52,1014.62,0.54,0.23,48.46,0.31,-1.70,442.84,1.00,-0.68
8.01,15.88,-1.56,41.66,6.45,-1.00,1014.49,0.53,0.21,76.72,0.69,0.23,485.13,1.00,1.80
19.63,17.52,-0.00,52.72,7.43,-0.12,1025.09,0.80,1.99,51.16,0.34,-1.52,459.12,1.00,0.28
20.02,17.58,0.05,67.32,8.73,1.02,1012.05,0.47,-0.20,76.34,0.68,0.21,445.31,1.00,-0.53
10.08,16.17,-1.28,40.72,6.37,-1.07,1022.70,0.74,1.59,67.30,0.56,-0.41,480.80,1.00,1.55
27.23,18.60,1.02,66.48,8.66,0.96,1005.23,0.31,-1.35,52.38,0.36,-1.43,432.55,1.00,-1.28
23.37,18.05,0.50,63.77,8.42,0.74,1013.42,0.51,0.03,76.44,0.68,0.21,443.86,1.00,-0.62
18.74,17.40,-0.12,59.21,8.01,0.39,1018.30,0.63,0.85,91.55,0.88,1.25,449.77,1.00,-0.27
14.81,16.84,-0.65,43.69,6.63,-0.84,1017.19,0.60,0.66,71.90,0.62,-0.10,470.71,1.00,0.96
23.10,18.02,0.46,51.30,7.31,-0.24,1011.93,0.47,-0.22,80.05,0.73,0.46,452.17,1.00,-0.13
10.72,16.26,-1.20,41.38,6.43,-1.02,1021.60,0.71,1.40,63.77,0.51,-0.65,478.29,1.00,1.40
29.46,18.92,1.32,71.94,9.14,1.39,1006.96,0.35,-1.06,62.26,0.49,-0.76,428.54,1.00,-1.51
8.10,15.89,-1.55,40.64,6.36,-1.08,1020.66,0.69,1.25,89.04,0.85,1.08,478.27,1.00,1.40
27.29,18.61,1.03,62.66,8.32,0.66,1007.63,0.36,-0.95,58.02,0.44,-1.05,439.58,1.00,-0.87
17.10,17.17,-0.34,49.69,7.16,-0.36,1005.53,0.31,-1.30,81.82,0.75,0.58,457.32,1.00,0.17
11.49,16.37,-1.10,44.20,6.68,-0.80,1018.79,0.64,0.93,91.14,0.88,1.22,475.51,1.00,1.24
23.69,18.10,0.54,65.59,8.58,0.89,1010.85,0.44,-0.41,88.92,0.85,1.07,439.66,1.00,-0.86
13.51,16.66,-0.82,40.89,6.38,-1.06,1011.03,0.45,-0.38,84.83,0.79,0.79,471.99,1.00,1.03
9.64,16.11,-1.34,39.35,6.24,-1.18,1015.10,0.55,0.31,91.76,0.89,1.26,479.81,1.00,1.49
25.65,18.38,0.80,78.92,9.77,1.94,1010.83,0.44,-0.41,86.56,0.82,0.91,434.78,1.00,-1.15
21.59,17.80,0.26,61.87,8.25,0.60,1011.18,0.45,-0.35,57.21,0.42,-1.10,446.58,1.00,-0.46
27.98,18.71,1.12,58.33,7.93,0.32,1013.92,0.52,0.11,54.25,0.38,-1.31,437.76,1.00,-0.97
18.80,17.41,-0.11,39.72,6.28,-1.15,1001.24,0.21,-2.02,63.80,0.51,-0.65,459.36,1.00,0.29
18.28,17.33,-0.18,44.71,6.72,-0.76,1016.99,0.60,0.63,33.71,0.11,-2.71,462.28,1.00,0.46
13.55,16.66,-0.82,43.48,6.61,-0.85,1016.08,0.57,0.48,67.25,0.56,-0.42,464.33,1.00,0.58
22.99,18.00,0.45,46.21,6.85,-0.64,1010.71,0.44,-0.43,60.11,0.46,-0.90,444.36,1.00,-0.59
23.94,18.13,0.58,59.39,8.03,0.40,1014.32,0.53,0.18,74.55,0.66,0.09,438.64,1.00,-0.92
13.74,16.69,-0.79,34.03,5.77,-1.60,1018.69,0.64,0.91,67.34,0.56,-0.41,470.49,1.00,0.94
21.30,17.76,0.22,41.10,6.40,-1.04,1001.86,0.22,-1.92,42.75,0.23,-2.09,455.13,1.00,0.04
27.54,18.64,1.06,66.93,8.70,0.99,1017.06,0.60,0.64,55.20,0.40,-1.24,450.22,1.00,-0.24
24.81,18.26,0.69,63.73,8.41,0.74,1009.34,0.41,-0.66,83.61,0.78,0.71,440.43,1.00,-0.82
4.97,15.45,-1.97,42.85,6.56,-0.90,1014.02,0.52,0.13,88.78,0.85,1.06,482.98,1.00,1.68
15.22,16.90,-0.59,50.88,7.27,-0.27,1014.19,0.53,0.16,100.12,1.00,1.84,460.44,1.00,0.36
23.88,18.13,0.57,54.20,7.57,-0.01,1012.81,0.49,-0.08,64.52,0.52,-0.60,444.97,1.00,-0.55
33.01,19.42,1.79,68.67,8.85,1.13,1005.20,0.30,-1.36,51.41,0.35,-1.50,433.94,1.00,-1.20
25.98,18.42,0.85,73.18,9.25,1.49,1012.28,0.48,-0.16,85.78,0.81,0.85,439.73,1.00,-0.86
28.18,18.74,1.14,73.88,9.32,1.54,1005.89,0.32,-1.24,75.41,0.67,0.14,434.48,1.00,-1.17
21.67,17.81,0.27,60.84,8.16,0.51,1017.93,0.62,0.79,81.63,0.75,0.57,442.33,1.00,-0.71
17.67,17.25,-0.27,45.09,6.76,-0.73,1014.26,0.53,0.17,51.92,0.35,-1.47,457.67,1.00,0.19
21.37,17.77,0.23,57.76,7.88,0.27,1018.80,0.64,0.93,70.12,0.60,-0.22,454.66,1.00,0.02
28.69,18.81,1.21,67.25,8.73,1.02,1017.71,0.61,0.75,53.83,0.38,-1.33,432.21,1.00,-1.30
16.61,17.10,-0.41,43.77,6.64,-0.83,1012.25,0.48,-0.17,77.23,0.69,0.27,457.66,1.00,0.19
27.91,18.70,1.11,63.76,8.42,0.74,1010.27,0.43,-0.50,65.67,0.54,-0.52,435.21,1.00,-1.12
20.97,17.71,0.18,47.43,6.96,-0.54,1007.64,0.37,-0.95,71.18,0.61,-0.15,448.22,1.00,-0.36
10.80,16.27,-1.19,41.66,6.45,-1.00,1013.79,0.52,0.09,81.96,0.76,0.59,475.51,1.00,1.24
20.61,17.66,0.13,62.91,8.34,0.68,1013.24,0.50,-0.00,79.54,0.72,0.43,446.53,1.00,-0.46
25.45,18.35,0.78,57.32,7.84,0.24,1011.70,0.47,-0.26,47.09,0.29,-1.80,441.30,1.00,-0.77
30.16,19.02,1.41,69.34,8.91,1.18,1007.67,0.37,-0.94,57.69,0.43,-1.07,433.54,1.00,-1.22
4.99,15.45,-1.97,39.04,6.22,-1.20,1020.45,0.68,1.21,78.89,0.71,0.38,472.52,1.00,1.06
10.51,16.23,-1.23,44.78,6.73,-0.75,1012.59,0.49,-0.11,85.29,0.80,0.82,474.77,1.00,1.20
33.79,19.53,1.90,69.05,8.89,1.16,1001.62,0.22,-1.96,40.13,0.20,-2.27,435.10,1.00,-1.13
21.34,17.77,0.23,59.80,8.06,0.43,1016.92,0.59,0.62,77.06,0.69,0.26,450.74,1.00,-0.21
23.40,18.06,0.50,65.06,8.53,0.85,1014.32,0.53,0.18,67.38,0.56,-0.41,442.70,1.00,-0.68
32.21,19.31,1.69,68.14,8.81,1.09,1003.34,0.26,-1.67,62.44,0.49,-0.74,426.56,1.00,-1.63
14.26,16.76,-0.72,42.32,6.51,-0.94,1016.00,0.57,0.46,77.43,0.70,0.28,463.71,1.00,0.55
27.71,18.67,1.08,66.93,8.70,0.99,1016.85,0.59,0.60,58.77,0.45,-1.00,447.06,1.00,-0.43
21.95,17.85,0.31,57.76,7.88,0.27,1018.02,0.62,0.80,67.72,0.57,-0.38,452.27,1.00,-0.12
25.76,18.39,0.82,63.94,8.43,0.76,1018.49,0.63,0.88,42.14,0.22,-2.13,445.78,1.00,-0.50
23.68,18.10,0.54,68.30,8.82,1.10,1017.93,0.62,0.79,84.16,0.79,0.74,438.65,1.00,-0.92
8.28,15.92,-1.53,40.77,6.37,-1.07,1011.55,0.46,-0.29,89.79,0.86,1.13,480.15,1.00,1.51
23.44,18.06,0.51,62.52,8.31,0.65,1016.46,0.58,0.54,67.21,0.56,-0.42,447.19,1.00,-0.42
25.32,18.33,0.76,48.41,7.05,-0.46,1008.47,0.39,-0.81,72.14,0.62,-0.08,443.04,1.00,-0.66
3.94,15.30,-2.11,39.90,6.29,-1.13,1008.06,0.38,-0.88,97.49,0.96,1.66,488.81,1.00,2.02
17.30,17.19,-0.32,57.76,7.88,0.27,1016.26,0.58,0.51,87.74,0.83,0.99,455.75,1.00,0.08
18.20,17.32,-0.19,49.39,7.14,-0.39,1018.83,0.64,0.94,96.30,0.95,1.57,455.86,1.00,0.09
21.43,17.78,0.24,46.97,6.92,-0.58,1013.94,0.52,0.11,61.25,0.48,-0.83,457.68,1.00,0.19
11.16,16.32,-1.14,40.05,6.31,-1.12,1014.95,0.55,0.28,88.38,0.84,1.03,479.11,1.00,1.45
30.38,19.05,1.44,74.16,9.34,1.56,1007.44,0.36,-0.98,74.77,0.66,0.10,432.84,1.00,-1.26
23.36,18.05,0.50,62.52,8.31,0.65,1016.18,0.58,0.49,68.18,0.57,-0.35,448.37,1.00,-0.35
21.69,17.82,0.27,47.45,6.97,-0.54,1007.56,0.36,-0.96,77.20,0.69,0.27,447.06,1.00,-0.43
23.62,18.09,0.53,49.21,7.12,-0.40,1014.10,0.52,0.14,49.54,0.32,-1.63,443.53,1.00,-0.63
21.87,17.84,0.30,61.45,8.21,0.56,1011.13,0.45,-0.36,92.22,0.89,1.30,445.21,1.00,-0.54
29.25,18.89,1.29,66.51,8.66,0.96,1015.53,0.56,0.38,33.65,0.11,-2.72,441.70,1.00,-0.74
20.03,17.58,0.05,66.86,8.69,0.99,1013.05,0.50,-0.04,64.59,0.52,-0.60,450.93,1.00,-0.20
18.14,17.31,-0.20,49.78,7.17,-0.36,1002.95,0.25,-1.74,100.09,1.00,1.83,451.44,1.00,-0.17
24.23,18.18,0.61,56.89,7.81,0.20,1012.32,0.48,-0.16,68.04,0.57,-0.36,441.29,1.00,-0.77
18.11,17.31,-0.21,44.85,6.73,-0.74,1014.48,0.53,0.21,48.94,0.31,-1.67,458.85,1.00,0.26
6.57,15.67,-1.76,43.65,6.63,-0.84,1018.24,0.63,0.84,74.47,0.66,0.08,481.46,1.00,1.59
12.56,16.52,-0.95,43.41,6.61,-0.86,1016.93,0.59,0.62,81.02,0.74,0.53,467.19,1.00,0.75
13.40,16.64,-0.84,41.58,6.44,-1.00,1020.50,0.68,1.22,71.17,0.61,-0.15,461.54,1.00,0.42
27.10,18.58,1.00,52.84,7.44,-0.12,1006.28,0.33,-1.18,53.85,0.38,-1.33,439.08,1.00,-0.90
14.28,16.77,-0.72,42.74,6.55,-0.91,1028.79,0.89,2.62,70.67,0.60,-0.18,467.22,1.00,0.75
16.29,17.05,-0.45,44.34,6.69,-0.78,1019.49,0.66,1.05,59.36,0.45,-0.96,468.80,1.00,0.85
31.24,19.17,1.56,71.98,9.15,1.39,1004.66,0.29,-1.45,57.17,0.42,-1.11,426.93,1.00,-1.61
10.57,16.24,-1.22,37.73,6.10,-1.30,1024.36,0.78,1.87,70.29,0.60,-0.21,474.65,1.00,1.19
13.80,16.70,-0.79,44.21,6.68,-0.79,1022.93,0.74,1.63,83.37,0.77,0.69,468.97,1.00,0.86
25.30,18.33,0.76,71.58,9.11,1.36,1010.18,0.43,-0.52,87.36,0.83,0.96,433.97,1.00,-1.20
18.06,17.30,-0.21,50.16,7.21,-0.33,1009.52,0.41,-0.63,100.09,1.00,1.83,450.53,1.00,-0.22
25.42,18.34,0.77,59.04,8.00,0.37,1011.98,0.47,-0.22,68.78,0.58,-0.31,444.51,1.00,-0.58
15.07,16.88,-0.61,40.69,6.36,-1.07,1015.29,0.55,0.34,70.98,0.61,-0.16,469.03,1.00,0.86
11.75,16.41,-1.06,71.14,9.07,1.32,1019.36,0.66,1.03,75.68,0.67,0.16,466.56,1.00,0.71
20.23,17.61,0.08,52.05,7.37,-0.18,1012.15,0.48,-0.19,47.49,0.29,-1.77,457.57,1.00,0.19
27.31,18.61,1.03,59.54,8.04,0.41,1006.24,0.33,-1.18,71.99,0.62,-0.09,440.13,1.00,-0.83
28.57,18.79,1.20,69.84,8.96,1.22,1003.57,0.26,-1.63,66.55,0.55,-0.46,433.24,1.00,-1.24
17.90,17.28,-0.23,43.72,6.63,-0.83,1008.64,0.39,-0.78,74.73,0.66,0.10,452.55,1.00,-0.11
23.83,18.12,0.56,71.37,9.09,1.34,1002.04,0.23,-1.89,64.78,0.53,-0.58,443.29,1.00,-0.65
27.92,18.70,1.11,74.99,9.42,1.63,1005.47,0.31,-1.31,75.13,0.66,0.12,431.76,1.00,-1.32
17.34,17.20,-0.31,44.78,6.73,-0.75,1007.81,0.37,-0.92,56.38,0.41,-1.16,454.97,1.00,0.04
17.94,17.28,-0.23,63.07,8.35,0.69,1012.42,0.48,-0.14,94.35,0.92,1.44,456.70,1.00,0.14
6.40,15.65,-1.78,39.90,6.29,-1.13,1007.75,0.37,-0.93,86.55,0.82,0.91,486.03,1.00,1.86
11.78,16.41,-1.06,39.96,6.30,-1.13,1011.37,0.46,-0.32,82.95,0.77,0.66,472.79,1.00,1.08
20.28,17.62,0.08,57.25,7.84,0.23,1010.12,0.43,-0.53,88.42,0.84,1.04,452.03,1.00,-0.14
21.04,17.72,0.19,54.20,7.57,-0.01,1012.26,0.48,-0.17,85.61,0.80,0.84,443.41,1.00,-0.64
25.11,18.30,0.73,67.32,8.73,1.02,1014.49,0.53,0.21,58.39,0.44,-1.02,441.93,1.00,-0.73
30.28,19.03,1.43,70.98,9.06,1.31,1007.51,0.36,-0.97,74.28,0.65,0.07,432.64,1.00,-1.27
8.14,15.90,-1.54,36.24,5.97,-1.42,1013.15,0.50,-0.02,87.85,0.83,1.00,480.25,1.00,1.52
16.86,17.13,-0.37,39.63,6.27,-1.15,1004.47,0.29,-1.48,83.50,0.78,0.70,466.68,1.00,0.72
6.25,15.63,-1.80,40.07,6.31,-1.12,1020.19,0.68,1.17,65.24,0.53,-0.55,494.39,1.00,2.35
22.35,17.91,0.36,54.42,7.59,0.01,1012.46,0.48,-0.13,75.01,0.66,0.12,454.72,1.00,0.02
17.98,17.29,-0.22,56.85,7.80,0.20,1012.28,0.48,-0.16,84.52,0.79,0.77,448.71,1.00,-0.33
21.19,17.75,0.21,42.48,6.52,-0.93,1013.43,0.51,0.03,80.52,0.74,0.49,469.76,1.00,0.90
20.94,17.71,0.17,44.89,6.74,-0.74,1009.64,0.41,-0.61,75.14,0.66,0.13,450.71,1.00,-0.21
24.23,18.18,0.61,58.79,7.97,0.35,1009.80,0.42,-0.58,75.75,0.67,0.17,444.01,1.00,-0.61
19.18,17.46,-0.06,58.20,7.92,0.31,1017.46,0.61,0.71,76.72,0.69,0.23,453.20,1.00,-0.07
20.88,17.70,0.16,57.85,7.89,0.28,1012.39,0.48,-0.15,85.47,0.80,0.83,450.87,1.00,-0.20
23.67,18.10,0.54,63.86,8.43,0.75,1019.67,0.66,1.08,57.95,0.43,-1.05,441.73,1.00,-0.74
14.12,16.74,-0.74,39.52,6.26,-1.16,1018.41,0.63,0.87,78.32,0.71,0.34,465.09,1.00,0.63
25.23,18.32,0.75,64.63,8.49,0.81,1020.59,0.69,1.23,52.20,0.36,-1.45,447.28,1.00,-0.42
6.54,15.67,-1.76,39.33,6.24,-1.18,1011.54,0.46,-0.29,93.69,0.91,1.40,491.16,1.00,2.16
20.08,17.59,0.06,62.52,8.31,0.65,1017.99,0.62,0.80,75.74,0.67,0.17,450.98,1.00,-0.20
24.67,18.24,0.67,63.56,8.40,0.73,1013.75,0.52,0.08,67.56,0.56,-0.39,446.30,1.00,-0.47
27.82,18.68,1.10,79.74,9.84,2.00,1008.37,0.38,-0.82,69.46,0.59,-0.26,436.48,1.00,-1.05
15.55,16.95,-0.55,42.03,6.48,-0.97,1017.41,0.61,0.70,74.58,0.66,0.09,460.84,1.00,0.38
24.26,18.18,0.62,69.51,8.93,1.20,1013.43,0.51,0.03,53.23,0.37,-1.38,442.56,1.00,-0.69
