AT (Original),AT (Binned),AT (Min-Max),AT (Z-Score)
5.53,5.96,0.00,-1.84
5.53,5.96,0.00,-1.84
5.54,5.96,0.00,-1.84
5.54,5.96,0.00,-1.84
5.56,5.96,0.00,-1.84
5.57,5.96,0.00,-1.84
5.60,5.96,0.00,-1.84
5.62,5.96,0.00,-1.84
5.62,5.96,0.00,-1.84
5.62,5.96,0.00,-1.84
5.62,5.96,0.00,-1.84
5.63,5.96,0.00,-1.84
5.64,5.96,0.00,-1.84
5.65,5.96,0.00,-1.84
5.66,5.96,0.00,-1.84
5.66,5.96,0.00,-1.84
5.66,5.96,0.00,-1.84
5.66,5.96,0.00,-1.84
5.67,5.96,0.00,-1.84
5.68,5.96,0.00,-1.84
5.68,5.96,0.00,-1.84
5.70,5.96,0.00,-1.84
5.70,5.96,0.00,-1.84
5.71,5.96,0.00,-1.84
5.71,5.96,0.00,-1.84
5.71,5.96,0.00,-1.84
5.71,5.96,0.00,-1.84
5.72,5.96,0.00,-1.84
5.72,5.96,0.00,-1.84
5.73,5.96,0.00,-1.84
5.74,5.96,0.00,-1.84
5.74,5.96,0.00,-1.84
5.74,5.96,0.00,-1.84
5.75,5.96,0.00,-1.84
5.76,5.96,0.00,-1.84
5.76,5.96,0.00,-1.84
5.78,5.96,0.00,-1.84
5.78,5.96,0.00,-1.84
5.79,5.96,0.00,-1.84
5.79,5.96,0.00,-1.84
5.79,5.96,0.00,-1.84
5.80,5.96,0.00,-1.84
5.81,5.96,0.00,-1.84
5.81,5.96,0.00,-1.84
5.82,5.96,0.00,-1.84
5.82,5.96,0.00,-1.84
5.82,5.96,0.00,-1.84
5.84,5.96,0.00,-1.84
5.84,5.96,0.00,-1.84
5.84,5.96,0.00,-1.84
5.85,5.96,0.00,-1.84
5.85,5.96,0.00,-1.84
5.86,5.96,0.00,-1.84
5.89,5.96,0.00,-1.84
5.89,5.96,0.00,-1.84
5.89,5.96,0.00,-1.84
5.90,5.96,0.00,-1.84
5.91,5.96,0.00,-1.84
5.94,5.96,0.00,-1.84
5.95,5.96,0.00,-1.84
5.95,5.96,0.00,-1.84
5.95,5.96,0.00,-1.84
5.96,5.96,0.00,-1.84
5.97,5.96,0.00,-1.84
5.97,5.96,0.00,-1.84
5.98,5.96,0.00,-1.84
5.98,5.96,0.00,-1.84
5.98,5.96,0.00,-1.84
5.99,5.96,0.00,-1.84
6.01,5.96,0.00,-1.84
6.01,5.96,0.00,-1.84
6.02,5.96,0.00,-1.84
6.02,5.96,0.00,-1.84
6.03,5.96,0.00,-1.84
6.03,5.96,0.00,-1.84
6.03,5.96,0.00,-1.84
6.03,5.96,0.00,-1.84
6.04,5.96,0.00,-1.84
6.04,5.96,0.00,-1.84
6.05,5.96,0.00,-1.84
6.05,5.96,0.00,-1.84
6.05,5.96,0.00,-1.84
6.06,5.96,0.00,-1.84
6.06,5.96,0.00,-1.84
6.06,5.96,0.00,-1.84
6.07,5.96,0.00,-1.84
6.07,5.96,0.00,-1.84
6.08,5.96,0.00,-1.84
6.09,5.96,0.00,-1.84
6.10,5.96,0.00,-1.84
6.10,5.96,0.00,-1.84
6.10,5.96,0.00,-1.84
6.11,5.96,0.00,-1.84
6.12,5.96,0.00,-1.84
6.13,5.96,0.00,-1.84
6.13,5.96,0.00,-1.84
6.13,5.96,0.00,-1.84
6.14,5.96,0.00,-1.84
6.14,5.96,0.00,-1.84
6.14,5.96,0.00,-1.84
6.15,5.96,0.00,-1.84
6.15,5.96,0.00,-1.84
6.16,5.96,0.00,-1.84
6.16,5.96,0.00,-1.84
6.17,5.96,0.00,-1.84
6.17,5.96,0.00,-1.84
6.17,5.96,0.00,-1.84
6.17,5.96,0.00,-1.84
6.18,5.96,0.00,-1.84
6.18,5.96,0.00,-1.84
6.19,5.96,0.00,-1.84
6.22,5.96,0.00,-1.84
6.22,5.96,0.00,-1.84
6.22,5.96,0.00,-1.84
6.23,5.96,0.00,-1.84
6.24,5.96,0.00,-1.84
6.25,5.96,0.00,-1.84
6.25,5.96,0.00,-1.84
6.25,5.96,0.00,-1.84
6.25,5.96,0.00,-1.84
6.25,5.96,0.00,-1.84
6.26,5.96,0.00,-1.84
6.28,5.96,0.00,-1.84
6.28,5.96,0.00,-1.84
6.29,5.96,0.00,-1.84
6.29,5.96,0.00,-1.84
6.30,5.96,0.00,-1.84
6.30,5.96,0.00,-1.84
6.31,5.96,0.00,-1.84
6.33,5.96,0.00,-1.84
6.33,5.96,0.00,-1.84
6.34,5.96,0.00,-1.84
6.37,5.96,0.00,-1.84
6.37,5.96,0.00,-1.84
6.38,5.96,0.00,-1.84
6.39,5.96,0.00,-1.84
6.40,5.96,0.00,-1.84
6.40,5.96,0.00,-1.84
6.40,5.96,0.00,-1.84
6.40,5.96,0.00,-1.84
6.41,5.96,0.00,-1.84
6.42,5.96,0.00,-1.84
6.43,5.96,0.00,-1.84
6.43,5.96,0.00,-1.84
6.44,5.96,0.00,-1.84
6.45,5.96,0.00,-1.84
6.45,5.96,0.00,-1.84
6.48,5.96,0.00,-1.84
6.48,5.96,0.00,-1.84
6.49,5.96,0.00,-1.84
6.49,5.96,0.00,-1.84
6.49,5.96,0.00,-1.84
6.49,5.96,0.00,-1.84
6.49,5.96,0.00,-1.84
6.50,5.96,0.00,-1.84
6.50,5.96,0.00,-1.84
6.50,5.96,0.00,-1.84
6.52,5.96,0.00,-1.84
6.52,5.96,0.00,-1.84
6.53,5.96,0.00,-1.84
6.54,5.96,0.00,-1.84
6.57,5.96,0.00,-1.84
6.57,5.96,0.00,-1.84
6.57,5.96,0.00,-1.84
6.58,5.96,0.00,-1.84
6.58,5.96,0.00,-1.84
6.58,5.96,0.00,-1.84
6.59,5.96,0.00,-1.84
6.61,5.96,0.00,-1.84
6.61,5.96,0.00,-1.84
6.61,5.96,0.00,-1.84
6.62,5.96,0.00,-1.84
6.62,5.96,0.00,-1.84
6.63,5.96,0.00,-1.84
6.63,5.96,0.00,-1.84
6.64,5.96,0.00,-1.84
6.64,5.96,0.00,-1.84
6.65,5.96,0.00,-1.84
6.65,5.96,0.00,-1.84
6.65,5.96,0.00,-1.84
6.65,5.96,0.00,-1.84
6.67,5.96,0.00,-1.84
6.67,5.96,0.00,-1.84
6.67,5.96,0.00,-1.84
6.67,5.96,0.00,-1.84
6.69,5.96,0.00,-1.84
6.69,5.96,0.00,-1.84
6.69,5.96,0.00,-1.84
6.71,5.96,0.00,-1.84
6.71,5.96,0.00,-1.84
6.71,5.96,0.00,-1.84
6.72,5.96,0.00,-1.84
6.72,5.96,0.00,-1.84
6.74,5.96,0.00,-1.84
6.75,5.96,0.00,-1.84
6.75,5.96,0.00,-1.84
6.75,5.96,0.00,-1.84
6.76,5.96,0.00,-1.84
6.76,5.96,0.00,-1.84
6.76,5.96,0.00,-1.84
6.76,5.96,0.00,-1.84
6.76,5.96,0.00,-1.84
6.77,5.96,0.00,-1.84
6.77,5.96,0.00,-1.84
6.77,5.96,0.00,-1.84
6.79,5.96,0.00,-1.84
6.79,5.96,0.00,-1.84
6.79,5.96,0.00,-1.84
6.80,5.96,0.00,-1.84
6.80,5.96,0.00,-1.84
6.80,5.96,0.00,-1.84
6.81,5.96,0.00,-1.84
6.81,5.96,0.00,-1.84
6.82,5.96,0.00,-1.84
6.84,5.96,0.00,-1.84
6.84,5.96,0.00,-1.84
6.85,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.86,5.96,0.00,-1.84
6.87,5.96,0.00,-1.84
6.87,5.96,0.00,-1.84
6.89,5.96,0.00,-1.84
6.89,5.96,0.00,-1.84
6.90,5.96,0.00,-1.84
6.90,5.96,0.00,-1.84
6.90,5.96,0.00,-1.84
6.90,5.96,0.00,-1.84
6.91,5.96,0.00,-1.84
6.91,5.96,0.00,-1.84
6.91,5.96,0.00,-1.84
6.92,5.96,0.00,-1.84
6.92,5.96,0.00,-1.84
6.92,5.96,0.00,-1.84
6.93,5.96,0.00,-1.84
6.93,5.96,0.00,-1.84
6.93,5.96,0.00,-1.84
6.93,5.96,0.00,-1.84
6.93,5.96,0.00,-1.84
6.94,5.96,0.00,-1.84
6.94,5.96,0.00,-1.84
6.97,5.96,0.00,-1.84
6.98,5.96,0.00,-1.84
6.99,5.96,0.00,-1.84
6.99,5.96,0.00,-1.84
6.99,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.00,5.96,0.00,-1.84
7.01,5.96,0.00,-1.84
7.01,5.96,0.00,-1.84
7.03,5.96,0.00,-1.84
7.04,5.96,0.00,-1.84
7.04,5.96,0.00,-1.84
7.05,5.96,0.00,-1.84
7.05,5.96,0.00,-1.84
7.06,5.96,0.00,-1.84
7.06,5.96,0.00,-1.84
7.07,5.96,0.00,-1.84
7.08,5.96,0.00,-1.84
7.09,5.96,0.00,-1.84
7.09,5.96,0.00,-1.84
7.09,5.96,0.00,-1.84
7.10,5.96,0.00,-1.84
7.10,5.96,0.00,-1.84
7.11,5.96,0.00,-1.84
7.11,5.96,0.00,-1.84
7.11,5.96,0.00,-1.84
7.11,5.96,0.00,-1.84
7.14,5.96,0.00,-1.84
7.14,5.96,0.00,-1.84
7.14,5.96,0.00,-1.84
7.16,5.96,0.00,-1.84
7.17,5.96,0.00,-1.84
7.17,5.96,0.00,-1.84
7.18,5.96,0.00,-1.84
7.19,5.96,0.00,-1.84
7.19,5.96,0.00,-1.84
7.19,5.96,0.00,-1.84
7.19,5.96,0.00,-1.84
7.19,5.96,0.00,-1.84
7.20,5.96,0.00,-1.84
7.20,5.96,0.00,-1.84
7.21,5.96,0.00,-1.84
7.22,5.96,0.00,-1.84
7.23,5.96,0.00,-1.84
7.24,5.96,0.00,-1.84
7.24,5.96,0.00,-1.84
7.24,5.96,0.00,-1.84
7.24,5.96,0.00,-1.84
7.25,5.96,0.00,-1.84
7.26,5.96,0.00,-1.84
7.26,5.96,0.00,-1.84
7.26,5.96,0.00,-1.84
7.28,5.96,0.00,-1.84
7.28,5.96,0.00,-1.84
7.28,5.96,0.00,-1.84
7.29,5.96,0.00,-1.84
7.29,5.96,0.00,-1.84
7.29,5.96,0.00,-1.84
7.30,5.96,0.00,-1.84
7.30,5.96,0.00,-1.84
7.31,5.96,0.00,-1.84
7.31,5.96,0.00,-1.84
7.32,5.96,0.00,-1.84
7.32,5.96,0.00,-1.84
7.32,5.96,0.00,-1.84
7.33,5.96,0.00,-1.84
7.33,5.96,0.00,-1.84
7.34,5.96,0.00,-1.84
7.35,5.96,0.00,-1.84
7.36,5.96,0.00,-1.84
7.36,5.96,0.00,-1.84
7.36,5.96,0.00,-1.84
7.38,5.96,0.00,-1.84
7.38,5.96,0.00,-1.84
7.39,5.96,0.00,-1.84
7.39,5.96,0.00,-1.84
7.40,5.96,0.00,-1.84
7.40,5.96,0.00,-1.84
7.40,5.96,0.00,-1.84
7.41,5.96,0.00,-1.84
7.41,5.96,0.00,-1.84
7.41,5.96,0.00,-1.84
7.44,5.96,0.00,-1.84
7.44,5.96,0.00,-1.84
7.45,5.96,0.00,-1.84
7.45,5.96,0.00,-1.84
7.46,5.96,0.00,-1.84
7.46,8.43,0.08,-1.51
7.46,8.43,0.08,-1.51
7.47,8.43,0.08,-1.51
7.47,8.43,0.08,-1.51
7.48,8.43,0.08,-1.51
7.49,8.43,0.08,-1.51
7.49,8.43,0.08,-1.51
7.49,8.43,0.08,-1.51
7.50,8.43,0.08,-1.51
7.50,8.43,0.08,-1.51
7.51,8.43,0.08,-1.51
7.51,8.43,0.08,-1.51
7.51,8.43,0.08,-1.51
7.52,8.43,0.08,-1.51
7.52,8.43,0.08,-1.51
7.53,8.43,0.08,-1.51
7.53,8.43,0.08,-1.51
7.53,8.43,0.08,-1.51
7.54,8.43,0.08,-1.51
7.54,8.43,0.08,-1.51
7.54,8.43,0.08,-1.51
7.55,8.43,0.08,-1.51
7.55,8.43,0.08,-1.51
7.55,8.43,0.08,-1.51
7.55,8.43,0.08,-1.51
7.55,8.43,0.08,-1.51
7.57,8.43,0.08,-1.51
7.57,8.43,0.08,-1.51
7.57,8.43,0.08,-1.51
7.60,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.61,8.43,0.08,-1.51
7.62,8.43,0.08,-1.51
7.63,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.64,8.43,0.08,-1.51
7.65,8.43,0.08,-1.51
7.65,8.43,0.08,-1.51
7.65,8.43,0.08,-1.51
7.66,8.43,0.08,-1.51
7.67,8.43,0.08,-1.51
7.67,8.43,0.08,-1.51
7.67,8.43,0.08,-1.51
7.68,8.43,0.08,-1.51
7.68,8.43,0.08,-1.51
7.68,8.43,0.08,-1.51
7.69,8.43,0.08,-1.51
7.69,8.43,0.08,-1.51
7.69,8.43,0.08,-1.51
7.69,8.43,0.08,-1.51
7.70,8.43,0.08,-1.51
7.70,8.43,0.08,-1.51
7.71,8.43,0.08,-1.51
7.71,8.43,0.08,-1.51
7.71,8.43,0.08,-1.51
7.71,8.43,0.08,-1.51
7.72,8.43,0.08,-1.51
7.73,8.43,0.08,-1.51
7.73,8.43,0.08,-1.51
7.74,8.43,0.08,-1.51
7.74,8.43,0.08,-1.51
7.75,8.43,0.08,-1.51
7.76,8.43,0.08,-1.51
7.76,8.43,0.08,-1.51
7.76,8.43,0.08,-1.51
7.77,8.43,0.08,-1.51
7.77,8.43,0.08,-1.51
7.77,8.43,0.08,-1.51
7.78,8.43,0.08,-1.51
7.78,8.43,0.08,-1.51
7.79,8.43,0.08,-1.51
7.79,8.43,0.08,-1.51
7.79,8.43,0.08,-1.51
7.79,8.43,0.08,-1.51
7.80,8.43,0.08,-1.51
7.80,8.43,0.08,-1.51
7.81,8.43,0.08,-1.51
7.81,8.43,0.08,-1.51
7.82,8.43,0.08,-1.51
7.82,8.43,0.08,-1.51
7.82,8.43,0.08,-1.51
7.84,8.43,0.08,-1.51
7.84,8.43,0.08,-1.51
7.84,8.43,0.08,-1.51
7.85,8.43,0.08,-1.51
7.87,8.43,0.08,-1.51
7.87,8.43,0.08,-1.51
7.87,8.43,0.08,-1.51
7.87,8.43,0.08,-1.51
7.87,8.43,0.08,-1.51
7.89,8.43,0.08,-1.51
7.89,8.43,0.08,-1.51
7.89,8.43,0.08,-1.51
7.90,8.43,0.08,-1.51
7.90,8.43,0.08,-1.51
7.91,8.43,0.08,-1.51
7.91,8.43,0.08,-1.51
7.91,8.43,0.08,-1.51
7.91,8.43,0.08,-1.51
7.92,8.43,0.08,-1.51
7.92,8.43,0.08,-1.51
7.92,8.43,0.08,-1.51
7.92,8.43,0.08,-1.51
7.93,8.43,0.08,-1.51
7.93,8.43,0.08,-1.51
7.94,8.43,0.08,-1.51
7.94,8.43,0.08,-1.51
7.94,8.43,0.08,-1.51
7.94,8.43,0.08,-1.51
7.94,8.43,0.08,-1.51
7.95,8.43,0.08,-1.51
7.95,8.43,0.08,-1.51
7.95,8.43,0.08,-1.51
7.96,8.43,0.08,-1.51
7.97,8.43,0.08,-1.51
7.97,8.43,0.08,-1.51
7.98,8.43,0.08,-1.51
7.98,8.43,0.08,-1.51
7.98,8.43,0.08,-1.51
7.99,8.43,0.08,-1.51
7.99,8.43,0.08,-1.51
8.00,8.43,0.08,-1.51
8.01,8.43,0.08,-1.51
8.01,8.43,0.08,-1.51
8.01,8.43,0.08,-1.51
8.01,8.43,0.08,-1.51
8.02,8.43,0.08,-1.51
8.02,8.43,0.08,-1.51
8.02,8.43,0.08,-1.51
8.03,8.43,0.08,-1.51
8.03,8.43,0.08,-1.51
8.03,8.43,0.08,-1.51
8.04,8.43,0.08,-1.51
8.04,8.43,0.08,-1.51
8.05,8.43,0.08,-1.51
8.05,8.43,0.08,-1.51
8.05,8.43,0.08,-1.51
8.06,8.43,0.08,-1.51
8.07,8.43,0.08,-1.51
8.07,8.43,0.08,-1.51
8.07,8.43,0.08,-1.51
8.07,8.43,0.08,-1.51
8.07,8.43,0.08,-1.51
8.09,8.43,0.08,-1.51
8.09,8.43,0.08,-1.51
8.10,8.43,0.08,-1.51
8.11,8.43,0.08,-1.51
8.11,8.43,0.08,-1.51
8.12,8.43,0.08,-1.51
8.13,8.43,0.08,-1.51
8.13,8.43,0.08,-1.51
8.13,8.43,0.08,-1.51
8.14,8.43,0.08,-1.51
8.14,8.43,0.08,-1.51
8.14,8.43,0.08,-1.51
8.14,8.43,0.08,-1.51
8.16,8.43,0.08,-1.51
8.16,8.43,0.08,-1.51
8.16,8.43,0.08,-1.51
8.18,8.43,0.08,-1.51
8.18,8.43,0.08,-1.51
8.19,8.43,0.08,-1.51
8.19,8.43,0.08,-1.51
8.20,8.43,0.08,-1.51
8.21,8.43,0.08,-1.51
8.22,8.43,0.08,-1.51
8.22,8.43,0.08,-1.51
8.22,8.43,0.08,-1.51
8.23,8.43,0.08,-1.51
8.23,8.43,0.08,-1.51
8.23,8.43,0.08,-1.51
8.24,8.43,0.08,-1.51
8.25,8.43,0.08,-1.51
8.25,8.43,0.08,-1.51
8.25,8.43,0.08,-1.51
8.26,8.43,0.08,-1.51
8.26,8.43,0.08,-1.51
8.26,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.27,8.43,0.08,-1.51
8.28,8.43,0.08,-1.51
8.28,8.43,0.08,-1.51
8.29,8.43,0.08,-1.51
8.30,8.43,0.08,-1.51
8.30,8.43,0.08,-1.51
8.30,8.43,0.08,-1.51
8.30,8.43,0.08,-1.51
8.31,8.43,0.08,-1.51
8.32,8.43,0.08,-1.51
8.33,8.43,0.08,-1.51
8.33,8.43,0.08,-1.51
8.34,8.43,0.08,-1.51
8.34,8.43,0.08,-1.51
8.34,8.43,0.08,-1.51
8.35,8.43,0.08,-1.51
8.35,8.43,0.08,-1.51
8.35,8.43,0.08,-1.51
8.35,8.43,0.08,-1.51
8.35,8.43,0.08,-1.51
8.36,8.43,0.08,-1.51
8.36,8.43,0.08,-1.51
8.36,8.43,0.08,-1.51
8.36,8.43,0.08,-1.51
8.37,8.43,0.08,-1.51
8.37,8.43,0.08,-1.51
8.38,8.43,0.08,-1.51
8.39,8.43,0.08,-1.51
8.39,8.43,0.08,-1.51
8.39,8.43,0.08,-1.51
8.40,8.43,0.08,-1.51
8.41,8.43,0.08,-1.51
8.41,8.43,0.08,-1.51
8.42,8.43,0.08,-1.51
8.42,8.43,0.08,-1.51
8.42,8.43,0.08,-1.51
8.42,8.43,0.08,-1.51
8.43,8.43,0.08,-1.51
8.43,8.43,0.08,-1.51
8.44,8.43,0.08,-1.51
8.44,8.43,0.08,-1.51
8.46,8.43,0.08,-1.51
8.46,8.43,0.08,-1.51
8.46,8.43,0.08,-1.51
8.47,8.43,0.08,-1.51
8.47,8.43,0.08,-1.51
8.47,8.43,0.08,-1.51
8.47,8.43,0.08,-1.51
8.48,8.43,0.08,-1.51
8.48,8.43,0.08,-1.51
8.48,8.43,0.08,-1.51
8.48,8.43,0.08,-1.51
8.49,8.43,0.08,-1.51
8.49,8.43,0.08,-1.51
8.49,8.43,0.08,-1.51
8.50,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.51,8.43,0.08,-1.51
8.52,8.43,0.08,-1.51
8.52,8.43,0.08,-1.51
8.53,8.43,0.08,-1.51
8.53,8.43,0.08,-1.51
8.53,8.43,0.08,-1.51
8.53,8.43,0.08,-1.51
8.54,8.43,0.08,-1.51
8.55,8.43,0.08,-1.51
8.55,8.43,0.08,-1.51
8.56,8.43,0.08,-1.51
8.57,8.43,0.08,-1.51
8.57,8.43,0.08,-1.51
8.57,8.43,0.08,-1.51
8.57,8.43,0.08,-1.51
8.57,8.43,0.08,-1.51
8.58,8.43,0.08,-1.51
8.58,8.43,0.08,-1.51
8.60,8.43,0.08,-1.51
8.60,8.43,0.08,-1.51
8.60,8.43,0.08,-1.51
8.61,8.43,0.08,-1.51
8.61,8.43,0.08,-1.51
8.61,8.43,0.08,-1.51
8.62,8.43,0.08,-1.51
8.62,8.43,0.08,-1.51
8.62,8.43,0.08,-1.51
8.63,8.43,0.08,-1.51
8.63,8.43,0.08,-1.51
8.64,8.43,0.08,-1.51
8.64,8.43,0.08,-1.51
8.64,8.43,0.08,-1.51
8.64,8.43,0.08,-1.51
8.65,8.43,0.08,-1.51
8.66,8.43,0.08,-1.51
8.66,8.43,0.08,-1.51
8.66,8.43,0.08,-1.51
8.66,8.43,0.08,-1.51
8.67,8.43,0.08,-1.51
8.67,8.43,0.08,-1.51
8.68,8.43,0.08,-1.51
8.68,8.43,0.08,-1.51
8.68,8.43,0.08,-1.51
8.69,8.43,0.08,-1.51
8.69,8.43,0.08,-1.51
8.70,8.43,0.08,-1.51
8.70,8.43,0.08,-1.51
8.71,8.43,0.08,-1.51
8.72,8.43,0.08,-1.51
8.72,8.43,0.08,-1.51
8.72,8.43,0.08,-1.51
8.73,8.43,0.08,-1.51
8.73,8.43,0.08,-1.51
8.73,8.43,0.08,-1.51
8.73,8.43,0.08,-1.51
8.74,8.43,0.08,-1.51
8.74,8.43,0.08,-1.51
8.75,8.43,0.08,-1.51
8.75,8.43,0.08,-1.51
8.75,8.43,0.08,-1.51
8.76,8.43,0.08,-1.51
8.76,8.43,0.08,-1.51
8.76,8.43,0.08,-1.51
8.77,8.43,0.08,-1.51
8.77,8.43,0.08,-1.51
8.77,8.43,0.08,-1.51
8.79,8.43,0.08,-1.51
8.80,8.43,0.08,-1.51
8.80,8.43,0.08,-1.51
8.80,8.43,0.08,-1.51
8.81,8.43,0.08,-1.51
8.81,8.43,0.08,-1.51
8.81,8.43,0.08,-1.51
8.82,8.43,0.08,-1.51
8.82,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.83,8.43,0.08,-1.51
8.84,8.43,0.08,-1.51
8.85,8.43,0.08,-1.51
8.85,8.43,0.08,-1.51
